"time","event","gene_id","strand","l_ES","l_EE","s_ES","s_EE","I_S1","S_S1","I_S2","S_S2","FDR","dPSI"
80,"A5SS","Solyc01g009670.4","-",3871894,3871975,3871902,3871975,"21,9,20","44,56,42","6,1,4","49,75,38",0.000222634675932951,0.183
90,"A5SS","Solyc01g009670.4","-",3871894,3871975,3871902,3871975,"9,37,15","34,71,72","0,6,10","69,55,70",0.000471036468306186,0.161
120,"A5SS","Solyc01g009670.4","-",3871894,3871975,3871902,3871975,"24,11,7","56,42,43","2,5,2","55,74,56",2.36478495056451e-05,0.165
20,"A5SS","Solyc01g058260.4","-",59099084,59099412,59099308,59099412,"41,70,62","23,43,26","32,22,32","37,41,32",0.00872252198621921,0.206
25,"A5SS","Solyc01g058260.4","-",59099084,59099412,59099308,59099412,"50,40,53","25,22,21","27,33,26","32,38,57",0.000399745578355122,0.249
30,"A5SS","Solyc01g058260.4","-",59099228,59099412,59099308,59099412,"54,61,60","13,27,19","30,36,26","56,49,63",2.7822251169519e-10,0.402
30,"A5SS","Solyc01g058260.4","-",59099084,59099412,59099308,59099412,"55,58,60","13,27,19","30,36,27","56,49,63",1.18999434750526e-09,0.384
30,"A5SS","Solyc01g058260.4","-",59099037,59099412,59099308,59099412,"54,58,60","13,27,19","30,36,30","56,49,63",1.30939143555521e-09,0.378
30,"A5SS","Solyc01g058260.4","-",59099084,59099412,59099354,59099412,"97,125,111","14,14,16","74,76,61","36,38,52",1.80975754029533e-08,0.331
30,"A5SS","Solyc01g058260.4","-",59099037,59099412,59099354,59099412,"96,125,111","14,14,16","74,76,64","36,38,52",1.24261938072523e-08,0.326
30,"A5SS","Solyc01g058260.4","-",59099228,59099412,59099354,59099412,"96,128,111","14,14,16","74,76,60","36,38,52",1.97241897163283e-08,0.326
40,"A5SS","Solyc01g058260.4","-",59099228,59099412,59099308,59099412,"47,44,48","23,29,28","26,36,16","61,70,59",6.2688956248288e-09,0.326
40,"A5SS","Solyc01g058260.4","-",59099099,59099412,59099308,59099412,"47,41,48","23,29,28","26,36,17","61,70,59",1.32136319663217e-08,0.291
50,"A5SS","Solyc01g058260.4","-",59099228,59099412,59099308,59099412,"52,77,82","41,30,30","26,12,23","64,57,82",3.94698030872281e-12,0.411
50,"A5SS","Solyc01g058260.4","-",59099084,59099412,59099308,59099412,"52,75,82","41,30,30","26,14,21","64,57,82",2.8581581545946e-12,0.376
50,"A5SS","Solyc01g058260.4","-",59099099,59099412,59099308,59099412,"52,75,78","41,30,30","26,13,21","64,57,82",1.34501560216216e-12,0.375
60,"A5SS","Solyc01g058260.4","-",59099228,59099412,59099308,59099412,"82,74,52","53,21,19","18,37,13","101,113,72",0,0.484
60,"A5SS","Solyc01g058260.4","-",59099084,59099412,59099308,59099412,"82,68,52","53,21,19","18,36,14","101,113,72",0,0.441
60,"A5SS","Solyc01g058260.4","-",59099084,59099412,59099354,59099412,"188,159,135","32,44,29","63,78,49","60,36,19",0.00662717263714258,0.221
60,"A5SS","Solyc01g058260.4","-",59099228,59099412,59099354,59099412,"188,165,135","32,44,29","63,79,48","60,36,19",0.00486296747796891,0.221
70,"A5SS","Solyc01g058260.4","-",59099228,59099412,59099308,59099412,"84,67,53","46,50,40","18,10,21","142,84,103",0,0.402
70,"A5SS","Solyc01g058260.4","-",59099228,59099412,59099354,59099412,"186,112,148","34,22,31","52,41,68","28,34,41",8.08161119834649e-07,0.278
80,"A5SS","Solyc01g058260.4","-",59099084,59099412,59099308,59099412,"78,53,71","38,17,30","25,15,15","85,87,96",0,0.459
80,"A5SS","Solyc01g058260.4","-",59099084,59099412,59099354,59099412,"148,146,155","15,25,26","54,50,31","40,21,34",7.71138454438256e-07,0.355
90,"A5SS","Solyc01g058260.4","-",59099228,59099412,59099308,59099412,"60,105,77","41,53,22","25,28,27","91,96,110",0,0.432
90,"A5SS","Solyc01g058260.4","-",59099084,59099412,59099308,59099412,"60,105,77","41,53,22","19,27,28","91,96,110",0,0.409
105,"A5SS","Solyc01g058260.4","-",59099228,59099412,59099308,59099412,"60,70,58","16,35,37","36,9,21","308,135,93",0,0.513
105,"A5SS","Solyc01g058260.4","-",59099084,59099412,59099308,59099412,"60,65,57","16,35,37","34,9,21","308,135,93",0,0.461
105,"A5SS","Solyc01g058260.4","-",59099099,59099412,59099308,59099412,"60,65,56","16,35,37","34,10,21","308,135,93",0,0.458
105,"A5SS","Solyc01g058260.4","-",59099084,59099412,59099354,59099412,"132,127,114","13,19,26","115,39,59","61,12,31",0.00038456190087585,0.233
105,"A5SS","Solyc01g058260.4","-",59099099,59099412,59099354,59099412,"132,127,113","13,19,26","115,40,59","61,12,31",0.000577823806998029,0.231
105,"A5SS","Solyc01g058260.4","-",59099228,59099412,59099354,59099412,"132,132,115","13,19,26","117,39,59","61,12,31",0.000244039521082915,0.229
120,"A5SS","Solyc01g058260.4","-",59099228,59099412,59099308,59099412,"60,48,68","28,19,18","19,13,17","140,115,146",0,0.565
120,"A5SS","Solyc01g058260.4","-",59099037,59099412,59099308,59099412,"61,47,66","28,19,18","18,13,17","140,115,146",0,0.518
120,"A5SS","Solyc01g058260.4","-",59099084,59099412,59099308,59099412,"60,47,67","28,19,18","18,13,20","140,115,146",0,0.514
50,"A5SS","Solyc01g079410.3","-",71065620,71065689,71065638,71065689,"24,10,10","5,3,8","49,26,32","3,0,0",0.000119843068381502,-0.283
60,"A5SS","Solyc01g079410.3","-",71065620,71065689,71065638,71065689,"12,43,17","3,8,3","34,31,26","0,0,1",0.000279869630682023,-0.172
105,"A5SS","Solyc01g079680.3","+",71371976,71372177,71371976,71372128,"21,45,41","41,41,45","57,72,52","35,27,16",0.00262400560322178,-0.264
105,"A5SS","Solyc01g079680.3","+",71371976,71372177,71371976,71372155,"21,45,41","101,93,69","57,72,52","52,59,76",0.00869628149788627,-0.196
120,"A5SS","Solyc01g079680.3","+",71371976,71372177,71371976,71372128,"49,52,22","40,44,41","49,57,70","22,4,28",0.00432535380288361,-0.318
120,"A5SS","Solyc01g079680.3","+",71371976,71372177,71371976,71372155,"49,52,22","89,80,81","49,57,70","43,51,73",0.00637423086502943,-0.19
20,"A5SS","Solyc01g080280.3","+",72110428,72110837,72110428,72110557,"20,23,9","0,0,0","9,39,13","2,9,11",2.26000357928454e-06,0.418
20,"A5SS","Solyc01g080280.3","+",72110428,72110903,72110428,72110557,"20,23,12","0,0,0","9,37,15","2,9,11",1.43015986789255e-06,0.41
70,"A5SS","Solyc01g080280.3","+",72107157,72107452,72107157,72107391,"13,16,8","0,0,0","8,14,9","5,6,0",0.000233116338402736,0.282
70,"A5SS","Solyc01g080280.3","+",72110764,72111198,72110764,72111074,"22,75,15","0,0,0","28,27,20","9,9,0",1.63108857972762e-05,0.25
70,"A5SS","Solyc01g080280.3","+",72110764,72111201,72110764,72111074,"22,67,15","0,0,0","35,27,20","9,9,0",2.28718965699794e-05,0.235
105,"A5SS","Solyc01g080280.3","+",72110764,72111201,72110764,72111074,"14,13,12","0,0,0","15,15,28","8,8,3",4.0684557195362e-06,0.387
105,"A5SS","Solyc01g080280.3","+",72111020,72111265,72111020,72111074,"26,27,28","0,0,0","30,28,30","8,8,3",1.35629958459584e-06,0.293
120,"A5SS","Solyc01g080280.3","+",72110764,72111201,72110764,72111074,"21,22,22","0,0,0","16,24,20","5,17,7",1.64135113500606e-09,0.442
120,"A5SS","Solyc01g080280.3","+",72110764,72111206,72110764,72111074,"37,39,43","0,0,0","29,37,46","5,17,7",1.28663937179025e-08,0.311
50,"A5SS","Solyc01g088100.4","+",75205529,75205974,75205529,75205689,"285,375,323","26,0,21","346,249,234","58,47,41",1.33704252234534e-07,0.172
70,"A5SS","Solyc01g088100.4","+",75205652,75206089,75205652,75205689,"277,219,250","28,0,20","274,285,314","43,50,45",0.000842503209917638,0.139
80,"A5SS","Solyc01g088100.4","+",75205529,75205974,75205529,75205689,"266,167,274","0,18,10","242,191,207","40,25,26",5.56528432856556e-05,0.137
90,"A5SS","Solyc01g088100.4","+",75205529,75205974,75205529,75205689,"303,420,291","32,23,12","241,224,308","60,54,76",5.32210981632637e-12,0.213
90,"A5SS","Solyc01g088100.4","+",75205611,75206089,75205611,75205689,"239,409,305","32,23,12","392,281,324","60,54,76",1.86828315534118e-05,0.149
105,"A5SS","Solyc01g088100.4","+",75205529,75205974,75205529,75205689,"171,230,293","13,26,5","348,210,215","63,60,55",1.67374353615876e-07,0.206
120,"A5SS","Solyc01g088100.4","+",75205529,75205974,75205529,75205689,"306,232,248","8,17,12","284,189,321","65,61,79",0,0.257
80,"A5SS","Solyc01g091780.4","+",77596646,77597111,77596646,77596735,"18,13,13","0,0,0","14,22,17","6,18,6",1.86186499420359e-08,0.499
90,"A5SS","Solyc01g091780.4","+",77596646,77597111,77596646,77596735,"37,38,18","3,7,2","20,32,4","11,25,9",0.000229801108687504,0.454
105,"A5SS","Solyc01g091780.4","+",77596646,77597111,77596646,77596735,"17,30,18","0,0,8","13,24,10","27,25,10",7.97554596020512e-05,0.559
30,"A5SS","Solyc01g094840.3","-",78515000,78515159,78515002,78515159,"0,0,0","32,22,45","9,15,1","36,47,59",3.8094225402772e-05,-0.151
40,"A5SS","Solyc01g094840.3","-",78515000,78515159,78515002,78515159,"0,0,0","31,40,53","14,0,5","51,34,52",0.000308140620888592,-0.1
10,"A5SS","Solyc01g095430.3","-",78943041,78943313,78943055,78943313,"12,0,6","67,28,25","0,0,0","54,32,20",0.000654792380095478,0.107
40,"A5SS","Solyc01g095430.3","-",78942467,78942899,78942803,78942899,"70,79,69","0,0,0","31,47,23","0,23,9",2.49869034231366e-06,0.311
40,"A5SS","Solyc01g095430.3","-",78942462,78942899,78942803,78942899,"72,80,71","0,0,0","36,50,24","0,23,9",2.49869034231366e-06,0.303
40,"A5SS","Solyc01g095430.3","-",78942531,78942899,78942803,78942899,"74,85,69","0,0,0","41,54,23","0,23,9",2.49869034231366e-06,0.3
40,"A5SS","Solyc01g095430.3","-",78942493,78942899,78942803,78942899,"78,89,92","0,0,0","52,63,21","0,23,9",2.49869034231366e-06,0.295
60,"A5SS","Solyc01g095430.3","-",78942462,78942901,78942803,78942901,"71,73,78","0,0,0","26,38,35","0,14,18",1.00345776354653e-06,0.31
60,"A5SS","Solyc01g095430.3","-",78942467,78942901,78942803,78942901,"69,73,78","0,0,0","23,38,36","0,14,18",8.44247330303322e-07,0.308
60,"A5SS","Solyc01g095430.3","-",78942531,78942901,78942803,78942901,"76,86,93","0,0,0","30,53,33","0,14,18",1.05182666416685e-06,0.289
60,"A5SS","Solyc01g095430.3","-",78942493,78942901,78942803,78942901,"82,97,90","0,0,0","31,53,44","0,14,18",3.15630682520526e-07,0.265
70,"A5SS","Solyc01g095430.3","-",78942424,78942574,78942462,78942574,"10,16,17","0,0,0","4,5,9","6,3,3",8.08161119834649e-07,0.459
70,"A5SS","Solyc01g095430.3","-",78943041,78943293,78943055,78943293,"2,0,0","27,64,34","9,6,7","38,33,48",5.24177839236437e-05,-0.125
90,"A5SS","Solyc01g095430.3","-",78943041,78943293,78943055,78943293,"0,0,0","29,58,42","0,13,7","23,41,37",8.53163545740934e-06,-0.124
120,"A5SS","Solyc01g095430.3","-",78943041,78943313,78943055,78943313,"0,2,0","47,39,53","16,3,12","40,59,29",1.62346324938885e-06,-0.18
50,"A5SS","Solyc01g095460.3","+",78968427,78968896,78968427,78968510,"5,4,1","0,0,0","4,6,3","3,6,2",5.49214977421893e-07,0.613
105,"A5SS","Solyc01g095460.3","+",78968330,78968794,78968330,78968510,"108,116,119","0,0,0","289,181,186","31,12,10",2.1593827818764e-09,0.13
120,"A5SS","Solyc01g095460.3","+",78968330,78968794,78968330,78968510,"194,116,135","1,0,0","121,190,132","13,16,14",4.29415022059428e-11,0.162
80,"A5SS","Solyc01g096890.4","-",80142633,80142816,80142722,80142816,"1,1,1","17,29,11","9,1,7","9,14,16",0.0032289162379864,-0.177
105,"A5SS","Solyc01g096890.4","-",80142633,80142816,80142722,80142816,"0,0,2","30,13,24","4,6,7","19,14,16",0.000128678547311451,-0.164
120,"A5SS","Solyc01g096890.4","-",80142633,80142816,80142722,80142816,"0,0,1","22,13,33","7,7,3","13,12,15",7.76681597279183e-06,-0.204
